Batch,Subject,PVC_Nr,Sow,Contact,Pen,Test_Nr,expl_wob_dur,expl_wob_freq,freez_dur,freez_freq,BIBAGO_inter_voc_dur,expl_wob_lat,no_expl_wob_dur,no_expl_wob_freq,BIBAGO_voc_freq,choco_eaten
1,1,83,751,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,1,83,751,No,Group1,2,44.036,16,11.246,3,0,3.881,222.052,16,278,9
1,2,8334,747,No,Group1,1,162.577,12,0,0,101.568,13.119,94.282,11,8,10
1,2,8334,747,No,Group1,2,39.543,6,0,0,50.079,4.374,226.072,6,52,7
1,3,8187,763,No,Group2,1,21.197,9,18.001,5,91.704,25.651,223.135,9,92,6
1,3,8187,763,No,Group2,2,23.886,9,7.251,2,23.92,6.12,239.977,9,113,8
1,4,8687,691,No,Group2,2,16.543,8,3.502,1,103.667,37.264,199.678,8,NA,0
1,5,598,680,Yes,Group3,1,3.999,3,0,0,5.422,62.428,203.568,3,269,0
1,5,598,680,Yes,Group3,2,10.741,6,0,0,9.259,18.609,240.639,6,128,5
1,6,8397,763,Yes,Group3,1,29.944,5,0,0,4.2,27.25,212.797,5,12,10
1,6,8397,763,Yes,Group3,2,39.992,6,0,0,0,23.825,206.172,6,29,10
1,7,8485,691,Yes,Group3,1,29.535,10,0,0,43.112,5.962,234.484,10,185,10
1,7,8485,691,Yes,Group3,2,22.186,9,3.252,1,33.038,23.135,224.664,9,156,10
1,8,614,747,Yes,Group4,1,66.071,13,8.752,2,NA,68.228,135.676,13,15,10
1,8,614,747,Yes,Group4,2,40.144,12,11.65,3,97.774,10.169,219.664,12,37,10
1,9,9391,751,Yes,Group4,1,66.626,7,0,0,0,22.352,181.009,7,99,10
1,9,9391,751,Yes,Group4,2,31.236,10,4.85,1,2.803,11.504,227.241,10,82,10
1,NA,9305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,564,772,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,8957,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,8442,772,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,8516,776,Yes,Group1,1,35.298,6,42.241,10,40.361,84.41,150.281,6,75,8
2,1,8516,776,Yes,Group1,2,19.998,5,14.251,4,0,1.202,248.791,5,164,7
2,2,9200,791,Yes,Group1,1,58.934,9,18.245,4,12.464,1.112,209.937,9,9,5
2,2,9200,791,Yes,Group1,2,32.398,10,19.491,5,11.564,36.615,200.97,10,185,9
2,3,8754,728,Yes,Group1,1,31.356,4,8.001,2,76.039,3.084,235.553,4,5,7
2,3,8754,728,Yes,Group1,2,41.297,7,14.046,3,40.621,3.217,225.473,7,14,10
2,4,9349,680,Yes,Group2,1,0.954,2,21.348,6,16.961,129.262,139.781,2,111,0
2,4,9349,680,Yes,Group2,2,24.893,6,29.226,8,0.992,2.943,242.153,6,186,4
2,5,9158,812,Yes,Group2,1,66.653,19,10.496,3,0,1.722,201.588,19,109,10
2,5,9158,812,Yes,Group2,2,58.989,14,0,0,1.615,14.162,196.822,14,139,10
2,6,8657,804,Yes,Group2,1,124.698,14,0,0,45.482,45.034,100.242,13,2,10
2,6,8657,804,Yes,Group2,2,58.787,9,15.65,4,2.636,3.437,207.759,9,114,10
2,7,8528,728,No,Group3,1,64.827,13,0,0,94.19,9.487,195.661,13,NA,10
2,7,8528,728,No,Group3,2,63.479,14,3.25,1,270,14.172,192.322,14,0,10
2,8,9313,791,No,Group3,1,143.871,19,0,0,64.044,37.142,88.95,19,NA,7
2,8,9313,791,No,Group3,2,88.789,18,0,0,266.352,4.346,176.83,18,1,10
2,9,8514,776,No,Group3,1,68.743,3,9.251,2,25.084,3.934,197.264,4,19,10
2,NA,NA,776,No,Group3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
2,9,8514,776,No,Group3,2,89.421,7,0,0,80.743,8.641,171.925,7,3,9
2,10,8760,812,No,Group4,1,10.794,4,13.843,4,0,91.553,167.646,4,107,1
2,10,8760,812,No,Group4,2,68.886,11,15.752,3,0,46.332,154.761,11,77,8
2,11,9235,680,No,Group4,1,11.991,6,34.649,6,0,13.359,244.639,6,183,2
2,11,9235,680,No,Group4,2,31.69,8,18.499,5,2.53,1.582,236.713,8,170,8
2,12,8599,804,No,Group4,1,60.497,9,20.235,4,0,2.67,206.816,9,76,7
2,12,8599,804,No,Group4,2,55.396,8,10.507,3,17.696,4.295,210.294,8,109,9
